0, 5.512
1, 4.231
2, 2.068
3, 2.682
4, 2.041
5, 2.376
6, 4.403
0, 4.788
1, 4.875
2, 2.689
0, 4.788
1, 4.875
2, 2.683
3, 3.461
4, 2.138
5, 2.202
6, 4.645
7, 2.070
8, 3.356
9, 2.842
10, 2.330
0, 4.721
1, 2.215
2, 2.997
3, 1.749
4, 4.147
5, 3.342
6, 7.476
7, 3.686
8, 4.922
9, 2.935
10, 4.685
11, 4.767
12, 3.243
13, 1.951
14, 1.776
15, 2.423
16, 2.726
17, 1.815
18, 3.346
19, 2.422
20, 3.527
0, 4.721
1, 2.216
2, 3.015
3, 1.750
4, 4.212
5, 3.506
6, 7.754
7, 3.461
8, 5.652
9, 3.321
10, 4.981
11, 5.115
12, 3.331
13, 2.022
14, 2.260
15, 2.464
16, 2.665
17, 2.224
18, 4.876
19, 1.984
20, 3.270
21, 3.817
22, 1.743
23, 2.013
24, 3.745
25, 1.794
26, 4.452
27, 1.714
28, 1.922
29, 3.915
30, 1.548
31, 2.278
32, 1.880
33, 2.404
34, 1.551
35, 1.544
36, 3.220
37, 1.614
38, 1.601
39, 2.787
40, 3.507
41, 3.973
42, 3.531
43, 1.739
44, 3.250
45, 2.845
46, 2.439
47, 1.490
48, 2.893
49, 2.134
50, 1.669
51, 4.217
52, 3.064
53, 1.745
54, 1.504
55, 3.556
56, 1.956
57, 3.605
58, 2.062
59, 2.475
60, 2.101
